City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Larsnes,62.2028,5.5773,2.78,86,40,1.03,NO,1613456205
Deputatsky,69.3,139.9,-31.51,88,21,0.34,RU,1613456206
Barra de Tecoanapa,16.5167,-98.75,20.09,84,19,2.07,MX,1613456206
Albany,42.6001,-73.9662,-2.22,79,100,1.08,US,1613456206
Hong Kong,22.2855,114.1577,22.78,60,0,1.34,HK,1613456043
Port Alfred,-33.5906,26.891,17.22,94,63,5.21,ZA,1613456206
Atuona,-9.8,-139.0333,25.96,78,27,6.38,PF,1613456118
Galle,6.0367,80.217,28.48,69,56,2.88,LK,1613455996
Coyhaique,-45.5752,-72.0662,12.0,62,0,3.09,CL,1613456206
Touros,-5.1989,-35.4608,25.0,94,75,1.54,BR,1613456206
Kaka,37.3482,59.6143,17.68,28,0,1.33,TM,1613456207
Anloga,5.7947,0.8973,28.0,83,20,2.57,GH,1613456207
Bredasdorp,-34.5322,20.0403,16.0,88,75,4.12,ZA,1613456207
Ribeira Grande,38.5167,-28.7,14.1,64,47,8.27,PT,1613456207
Dalvik,65.9702,-18.5286,3.0,81,20,3.09,IS,1613456207
Bom Conselho,-9.1697,-36.6797,20.41,91,88,3.67,BR,1613456207
Bluff,-46.6,168.3333,13.33,65,0,3.58,NZ,1613456208
Nanga Eboko,4.6833,12.3667,19.92,96,80,0.9,CM,1613455981
Vaini,-21.2,-175.2,28.0,78,75,1.03,TO,1613456208
Arraial do Cabo,-22.9661,-42.0278,23.8,88,30,5.25,BR,1613456208
Porto-Novo,6.4965,2.6036,28.0,89,20,4.63,BJ,1613456208
Akdepe,42.0551,59.3788,8.0,66,0,5.14,TM,1613456208
Ushuaia,-54.8,-68.3,11.0,66,75,3.09,AR,1613456072
La Paz,-16.5,-68.15,5.0,93,75,1.03,BO,1613456209
Mataura,-46.1927,168.8643,13.33,65,3,3.58,NZ,1613456209
Rikitea,-23.1203,-134.9692,26.68,77,8,5.24,PF,1613456209
Hithadhoo,-0.6,73.0833,27.07,79,81,4.03,MV,1613456209
San Cristobal,7.7669,-72.225,19.48,90,100,0.67,VE,1613456209
Ahipara,-35.1667,173.1667,20.29,85,93,5.57,NZ,1613456209
Tasiilaq,65.6145,-37.6368,-3.0,80,90,1.03,GL,1613456209
Gijang,35.2442,129.2139,7.0,29,20,7.2,KR,1613456210
San Patricio,28.017,-97.5169,-5.0,80,20,2.57,US,1613456210
Bethel,41.3712,-73.414,0.0,93,90,5.14,US,1613456210
Dubbo,-32.25,148.6167,27.0,39,40,6.17,AU,1613456061
Saskylakh,71.9167,114.0833,-26.17,87,100,3.78,RU,1613456210
Jamestown,42.097,-79.2353,-5.0,93,90,6.17,US,1613456210
Darnah,32.767,22.6367,9.15,62,97,13.7,LY,1613456210
Griffith,41.5284,-87.4237,-9.0,85,90,4.12,US,1613456210
Katsuura,35.1333,140.3,15.0,36,20,8.75,JP,1613456210
Kaitangata,-46.2817,169.8464,13.89,53,9,3.58,NZ,1613456211
Hofn,64.2539,-15.2082,5.51,93,72,1.32,IS,1613456211
East London,-33.0153,27.9116,16.0,94,90,3.09,ZA,1613456211
Cape Town,-33.9258,18.4232,19.44,52,0,4.63,ZA,1613455924
Dromolaxia,34.8761,33.586,13.0,76,75,5.14,CY,1613456211
